year,lhd_name,lhd_area_type,county_name,expenditures,population,per_capita_spending
2003,Iredell County Health Department,Single,Iredell,"5,010,066.00","133,121.00",37.64
2004,Iredell County Health Department,Single,Iredell,"5,264,056.00","135,734.00",38.78
2005,Iredell County Health Department,Single,Iredell,"5,451,654.00","139,347.00",39.12
2006,Iredell County Health Department,Single,Iredell,"6,020,144.00","145,642.00",41.34
2007,Iredell County Health Department,Single,Iredell,"6,664,076.00","150,654.00",44.23
2008,Iredell County Health Department,Single,Iredell,"7,461,442.00","154,753.00",48.22
2009,Iredell County Health Department,Single,Iredell,"7,743,202.00","157,427.00",49.19
2010,Iredell County Health Department,Single,Iredell,"7,844,950.00","159,437.00",49.20
2011,Iredell County Health Department,Single,Iredell,"7,442,226.00","160,988.00",46.23
2012,Iredell County Health Department,Single,Iredell,"7,599,940.00","162,819.00",46.68
2013,Iredell County Health Department,Single,Iredell,"7,318,916.00","164,834.00",44.40
2014,Iredell County Health Department,Single,Iredell,"7,556,585.00","166,862.00",45.29
2015,Iredell County Health Department,Single,Iredell,"7,416,907.00","169,776.00",43.69
2016,Iredell County Health Department,Single,Iredell,"7,625,208.00","173,088.00",44.05
2017,Iredell County Health Department,Single,Iredell,"7,993,880.00","176,089.00",45.40
2018,Iredell County Health Department,Single,Iredell,"8,250,859.00","178,730.00",46.16
2019,Iredell County Health Department,Single,Iredell,"8,593,066.00","181,380.00",47.38
2005,Johnston County Health Department,Single,Johnston,"5,847,556.00","143,982.00",40.61
2007,Johnston County Health Department,Single,Johnston,"6,718,864.00","154,635.00",43.45
2008,Johnston County Health Department,Single,Johnston,"7,329,873.00","160,062.00",45.79
2009,Johnston County Health Department,Single,Johnston,"7,613,409.00","165,111.00",46.11
2010,Johnston County Health Department,Single,Johnston,"7,462,867.00","168,878.00",44.19
2011,Johnston County Health Department,Single,Johnston,"7,541,941.00","172,109.00",43.82
2012,Johnston County Health Department,Single,Johnston,"7,223,443.00","174,207.00",41.46
2013,Johnston County Health Department,Single,Johnston,"9,141,410.00","176,620.00",51.76
2014,Johnston County Health Department,Single,Johnston,"11,272,374.00","179,734.00",62.72
2015,Johnston County Health Department,Single,Johnston,"11,825,260.00","183,619.00",64.40
2016,Johnston County Health Department,Single,Johnston,"12,683,961.00","188,749.00",67.20
2017,Johnston County Health Department,Single,Johnston,"13,240,554.00","193,902.00",68.28
2018,Johnston County Health Department,Single,Johnston,"13,977,295.00","199,790.00",69.96
2019,Johnston County Health Department,Single,Johnston,"14,206,353.00","205,951.00",68.98
2020,Johnston County Health Department,Single,Johnston,"13,533,468.00","212,401.00",63.72
1998,Lincoln County Health Department,Single,Lincoln,"2,832,336.00","61,176.00",46.30
1999,Lincoln County Health Department,Single,Lincoln,"2,932,898.00","62,497.00",46.93
2000,Lincoln County Health Department,Single,Lincoln,"3,081,100.00","64,164.00",48.02
2001,Lincoln County Health Department,Single,Lincoln,"3,135,560.00","65,671.00",47.75
2002,Lincoln County Health Department,Single,Lincoln,"3,314,015.00","66,526.00",49.82
2003,Lincoln County Health Department,Single,Lincoln,"3,574,920.00","67,543.00",52.93
2004,Lincoln County Health Department,Single,Lincoln,"3,897,704.00","68,338.00",57.04
2005,Lincoln County Health Department,Single,Lincoln,"3,881,751.00","69,714.00",55.68
2006,Lincoln County Health Department,Single,Lincoln,"4,312,805.00","71,753.00",60.11
2007,Lincoln County Health Department,Single,Lincoln,"4,840,531.00","73,633.00",65.74
2008,Lincoln County Health Department,Single,Lincoln,"4,999,244.00","75,759.00",65.99
2009,Lincoln County Health Department,Single,Lincoln,"5,089,200.00","77,097.00",66.01
2010,Lincoln County Health Department,Single,Lincoln,"5,301,387.00","78,265.00",67.74
2011,Lincoln County Health Department,Single,Lincoln,"5,432,456.00","78,321.00",69.36
2012,Lincoln County Health Department,Single,Lincoln,"5,182,597.00","78,757.00",65.80
2013,Lincoln County Health Department,Single,Lincoln,"5,255,870.00","79,217.00",66.35
2014,Lincoln County Health Department,Single,Lincoln,"5,067,177.00","79,892.00",63.43
2015,Lincoln County Health Department,Single,Lincoln,"4,991,734.00","80,936.00",61.68
2016,Lincoln County Health Department,Single,Lincoln,"4,327,825.00","81,884.00",52.85
2017,Lincoln County Health Department,Single,Lincoln,"4,348,133.00","82,052.00",52.99
2018,Lincoln County Health Department,Single,Lincoln,"4,417,331.00","84,751.00",52.12
2019,Lincoln County Health Department,Single,Lincoln,"4,847,658.00","86,453.00",56.07
2020,Lincoln County Health Department,Single,Lincoln,"5,161,890.00","88,151.00",58.56
2003,Pitt County Health Department,Single,Pitt,"6,184,924.00","141,029.00",43.86
2004,Pitt County Health Department,Single,Pitt,"6,683,792.00","144,223.00",46.34
2005,Pitt County Health Department,Single,Pitt,"7,082,746.00","147,010.00",48.18
2006,Pitt County Health Department,Single,Pitt,"7,415,076.00","151,356.00",48.99
2007,Pitt County Health Department,Single,Pitt,"7,830,224.00","156,049.00",50.18
2008,Pitt County Health Department,Single,Pitt,"8,720,549.00","160,674.00",54.27
2009,Pitt County Health Department,Single,Pitt,"9,421,656.00","164,602.00",57.24
2010,Pitt County Health Department,Single,Pitt,"10,280,075.00","168,148.00",61.14
2011,Pitt County Health Department,Single,Pitt,"9,924,185.00","170,298.00",58.28
2012,Pitt County Health Department,Single,Pitt,"9,505,483.00","172,509.00",55.10
2013,Pitt County Health Department,Single,Pitt,"8,904,408.00","173,875.00",51.21
2014,Pitt County Health Department,Single,Pitt,"8,997,360.00","174,211.00",51.65
2015,Pitt County Health Department,Single,Pitt,"8,968,160.00","175,475.00",51.11
2016,Pitt County Health Department,Single,Pitt,"9,174,193.00","176,060.00",52.11
2017,Pitt County Health Department,Single,Pitt,"9,718,345.00","177,705.00",54.69
2018,Pitt County Health Department,Single,Pitt,"10,544,823.00","178,440.00",59.09
2019,Pitt County Health Department,Single,Pitt,"10,493,986.00","179,731.00",58.39
2011,Halifax County Health Department,Single,Halifax,"6,081,777.00","54,257.00",112.09
2012,Halifax County Health Department,Single,Halifax,"6,401,144.00","53,977.00",118.59
2013,Halifax County Health Department,Single,Halifax,"6,317,273.00","53,447.00",118.20
2014,Halifax County Health Department,Single,Halifax,"5,762,022.00","52,905.00",108.91
2015,Halifax County Health Department,Single,Halifax,"5,964,937.00","52,212.00",114.24
2016,Halifax County Health Department,Single,Halifax,"5,951,925.00","52,116.00",114.21
2017,Halifax County Health Department,Single,Halifax,"6,143,916.00","51,973.00",118.21
2018,Halifax County Health Department,Single,Halifax,"6,098,914.00","51,552.00",118.31
2019,Halifax County Health Department,Single,Halifax,"6,182,756.00","51,194.00",120.77
2005,Jones County Health Department,Single,Jones,"1,057,467.00","10,029.00",105.44
2006,Jones County Health Department,Single,Jones,"948,979.00","10,126.00",93.72
2007,Jones County Health Department,Single,Jones,"847,751.00","10,154.00",83.49
2008,Jones County Health Department,Single,Jones,"1,029,169.00","10,072.00",102.18
2009,Jones County Health Department,Single,Jones,"1,166,437.00","10,129.00",115.16
2010,Jones County Health Department,Single,Jones,"1,273,596.00","10,153.00",125.44
2011,Jones County Health Department,Single,Jones,"1,113,625.00","10,330.00",107.80
2012,Jones County Health Department,Single,Jones,"1,041,434.00","10,410.00",100.04
2013,Jones County Health Department,Single,Jones,"949,014.00","10,355.00",91.65
2014,Jones County Health Department,Single,Jones,"949,693.00","10,242.00",92.73
2015,Jones County Health Department,Single,Jones,"892,946.00","10,205.00",87.50
2016,Jones County Health Department,Single,Jones,"974,741.00","10,123.00",96.29
2017,Jones County Health Department,Single,Jones,"924,449.00","10,123.00",91.32
2018,Jones County Health Department,Single,Jones,"900,836.00","10,196.00",88.35
2019,Jones County Health Department,Single,Jones,"1,010,820.00","10,196.00",99.14
2008,Lenoir County Health Department,Single,Lenoir,"3,063,748.00","59,377.00",51.60
2009,Lenoir County Health Department,Single,Lenoir,"3,103,985.00","59,431.00",52.23
2010,Lenoir County Health Department,Single,Lenoir,"3,103,421.00","59,495.00",52.16
2011,Lenoir County Health Department,Single,Lenoir,"3,266,534.00","59,563.00",54.84
2012,Lenoir County Health Department,Single,Lenoir,"3,442,435.00","59,280.00",58.07
2013,Lenoir County Health Department,Single,Lenoir,"3,352,090.00","58,853.00",56.96
2014,Lenoir County Health Department,Single,Lenoir,"3,396,399.00","58,557.00",58.00
2015,Lenoir County Health Department,Single,Lenoir,"3,689,023.00","58,225.00",63.36
2016,Lenoir County Health Department,Single,Lenoir,"3,880,719.00","57,653.00",67.31
2017,Lenoir County Health Department,Single,Lenoir,"3,532,664.00","57,175.00",61.79
2018,Lenoir County Health Department,Single,Lenoir,"3,463,486.00","56,856.00",60.92
2019,Lenoir County Health Department,Single,Lenoir,"3,866,269.00","56,372.00",68.58
1999,Gaston County Health Department,Single,Gaston,"12,449,342.00","189,348.00",65.75
2000,Gaston County Health Department,Single,Gaston,"12,928,362.00","190,747.00",67.78
2001,Gaston County Health Department,Single,Gaston,"13,121,589.00","190,941.00",68.72
2002,Gaston County Health Department,Single,Gaston,"12,469,844.00","190,768.00",65.37
2003,Gaston County Health Department,Single,Gaston,"13,332,100.00","190,052.00",70.15
2004,Gaston County Health Department,Single,Gaston,"13,587,489.00","190,038.00",71.50
2005,Gaston County Health Department,Single,Gaston,"14,924,734.00","191,815.00",77.81
2006,Gaston County Health Department,Single,Gaston,"15,966,394.00","194,912.00",81.92
2007,Gaston County Health Department,Single,Gaston,"17,322,768.00","199,005.00",87.05
2008,Gaston County Health Department,Single,Gaston,"17,132,323.00","203,143.00",84.34
2009,Gaston County Health Department,Single,Gaston,"17,777,220.00","205,376.00",86.56
2010,Gaston County Health Department,Single,Gaston,"21,823,121.00","206,086.00",105.89
2011,Gaston County Health Department,Single,Gaston,"19,405,555.00","207,339.00",93.59
2012,Gaston County Health Department,Single,Gaston,"16,813,265.00","208,317.00",80.71
2013,Gaston County Health Department,Single,Gaston,"18,228,656.00","209,364.00",87.07
2014,Gaston County Health Department,Single,Gaston,"18,679,751.00","210,195.00",88.87
2015,Gaston County Health Department,Single,Gaston,"16,527,317.00","212,197.00",77.89
2016,Gaston County Health Department,Single,Gaston,"16,965,807.00","215,269.00",78.81
2017,Gaston County Health Department,Single,Gaston,"17,046,558.00","218,445.00",78.04
2018,Gaston County Health Department,Single,Gaston,"17,854,499.00","221,006.00",80.79
2019,Gaston County Health Department,Single,Gaston,"17,668,100.00","222,744.00",79.32
2009,Hyde County Health Department,Single,Hyde,"1,192,675.79","5,841.00",204.19
2010,Hyde County Health Department,Single,Hyde,"1,589,018.18","5,810.00",273.50
2011,Hyde County Health Department,Single,Hyde,"1,462,649.57","5,799.00",252.22
2012,Hyde County Health Department,Single,Hyde,"1,516,007.17","5,708.00",265.59
2013,Hyde County Health Department,Single,Hyde,"1,474,192.33","5,745.00",256.60
2014,Hyde County Health Department,Single,Hyde,"1,413,173.52","5,670.00",249.24
2015,Hyde County Health Department,Single,Hyde,"1,458,499.40","5,571.00",261.80
2016,Hyde County Health Department,Single,Hyde,"1,560,293.57","5,570.00",280.12
2017,Hyde County Health Department,Single,Hyde,"1,257,665.11","5,442.00",231.10
2018,Hyde County Health Department,Single,Hyde,"1,042,601.95","5,198.00",200.58
2019,Hyde County Health Department,Single,Hyde,"1,262,387.66","5,181.00",243.66
2020,Hyde County Health Department,Single,Hyde,"1,432,867.79","5,156.00",277.90
2006,Mecklenburg County Health Department,Single,Mecklenburg,"28,231,523.25","837,685.00",33.70
2007,Mecklenburg County Health Department,Single,Mecklenburg,"28,673,187.43","870,393.00",32.94
2008,Mecklenburg County Health Department,Single,Mecklenburg,"32,077,463.24","888,730.00",36.09
2009,Mecklenburg County Health Department,Single,Mecklenburg,"33,222,938.35","906,473.00",36.65
2010,Mecklenburg County Health Department,Single,Mecklenburg,"37,122,799.41","919,628.00",40.37
2011,Mecklenburg County Health Department,Single,Mecklenburg,"38,392,329.59","940,887.00",40.80
2012,Mecklenburg County Health Department,Single,Mecklenburg,"35,538,036.78","961,255.00",36.97
2013,Mecklenburg County Health Department,Single,Mecklenburg,"38,529,966.98","990,504.00",38.90
2014,Mecklenburg County Health Department,Single,Mecklenburg,"37,664,036.99","1,010,400.00",37.28
2015,Mecklenburg County Health Department,Single,Mecklenburg,"49,579,744.97","1,033,682.00",47.96
2016,Mecklenburg County Health Department,Single,Mecklenburg,"64,778,295.73","1,054,613.00",61.42
2017,Mecklenburg County Health Department,Single,Mecklenburg,"69,546,706.07","1,073,159.00",64.81
2018,Mecklenburg County Health Department,Single,Mecklenburg,"73,079,043.96","1,088,350.00",67.15
2019,Mecklenburg County Health Department,Single,Mecklenburg,"76,803,874.85","1,108,107.00",69.31
2020,Mecklenburg County Health Department,Single,Mecklenburg,"75,976,723.65","1,131,342.00",67.16
2008,Rockingham County Health Department,Single,Rockingham,"5,369,741.00","92,783.00",57.87
2009,Rockingham County Health Department,Single,Rockingham,"5,250,195.00","93,273.00",56.29
2010,Rockingham County Health Department,Single,Rockingham,"5,206,017.00","93,643.00",55.59
2011,Rockingham County Health Department,Single,Rockingham,"5,182,041.00","93,276.00",55.56
2012,Rockingham County Health Department,Single,Rockingham,"5,159,261.00","92,800.00",55.60
2013,Rockingham County Health Department,Single,Rockingham,"5,405,212.00","92,210.00",58.62
2014,Rockingham County Health Department,Single,Rockingham,"5,339,450.00","92,441.00",57.76
2015,Rockingham County Health Department,Single,Rockingham,"5,251,099.00","92,055.00",57.04
2016,Rockingham County Health Department,Single,Rockingham,"5,223,283.00","91,936.00",56.81
2017,Rockingham County Health Department,Single,Rockingham,"5,511,305.00","91,447.00",60.27
2018,Rockingham County Health Department,Single,Rockingham,"5,431,356.00","91,746.00",59.20
2019,Rockingham County Health Department,Single,Rockingham,"5,362,831.00","91,788.00",58.43
2010,Chatham County Health Department,Single,Chatham,"5,462,292.00","63,505.00",86.01
2011,Chatham County Health Department,Single,Chatham,"5,658,604.00","64,396.00",87.87
2012,Chatham County Health Department,Single,Chatham,"4,925,679.00","65,152.00",75.60
2013,Chatham County Health Department,Single,Chatham,"5,190,327.00","66,117.00",78.50
2014,Chatham County Health Department,Single,Chatham,"5,316,609.00","67,373.00",78.91
2015,Chatham County Health Department,Single,Chatham,"5,318,325.00","69,228.00",76.82
2016,Chatham County Health Department,Single,Chatham,"5,544,477.00","70,746.00",78.37
2017,Chatham County Health Department,Single,Chatham,"5,510,396.00","72,570.00",75.93
2018,Chatham County Health Department,Single,Chatham,"5,905,474.00","74,264.00",79.52
2019,Chatham County Health Department,Single,Chatham,"5,327,426.00","75,994.00",70.10
2020,Chatham County Health Department,Single,Chatham,"5,431,334.00","77,713.00",69.89
2017,Onslow County Health Department,Single,Onslow,"7,299,937.59","196,535.00",37.14
2018,Onslow County Health Department,Single,Onslow,"7,252,608.85","198,740.00",36.49
2019,Onslow County Health Department,Single,Onslow,"9,544,997.90","201,548.00",47.36
2020,Onslow County Health Department,Single,Onslow,"9,789,015.37","204,357.00",47.90
2004,Franklin County Health Department,Single,Franklin,"15,305,304.00","52,766.00",290.06
2005,Franklin County Health Department,Single,Franklin,"16,292,325.00","53,979.00",301.83
2006,Franklin County Health Department,Single,Franklin,"17,415,333.00","55,396.00",314.38
2007,Franklin County Health Department,Single,Franklin,"17,937,867.00","56,762.00",316.02
2008,Franklin County Health Department,Single,Franklin,"18,410,690.00","58,463.00",314.91
2009,Franklin County Health Department,Single,Franklin,"17,436,101.00","59,502.00",293.03
2010,Franklin County Health Department,Single,Franklin,"15,933,092.00","60,619.00",262.84
2011,Franklin County Health Department,Single,Franklin,"17,011,497.00","60,861.00",279.51
2012,Franklin County Health Department,Single,Franklin,"16,549,400.00","61,618.00",268.58
2013,Franklin County Health Department,Single,Franklin,"17,001,115.00","62,473.00",272.14
2014,Franklin County Health Department,Single,Franklin,"17,409,472.00","63,104.00",275.89
2015,Franklin County Health Department,Single,Franklin,"17,668,892.00","64,069.00",275.78
2016,Franklin County Health Department,Single,Franklin,"18,018,799.00","65,260.00",276.11
2017,Franklin County Health Department,Single,Franklin,"18,794,832.00","66,577.00",282.30
2018,Franklin County Health Department,Single,Franklin,"16,698,013.00","68,012.00",245.52
2019,Franklin County Health Department,Single,Franklin,"17,563,608.00","69,112.00",254.13
1999,Forsyth County Health Department,Single,Forsyth,"10,871,877.00","303,673.00",35.80
2000,Forsyth County Health Department,Single,Forsyth,"11,626,578.00","307,008.00",37.87
2001,Forsyth County Health Department,Single,Forsyth,"12,320,366.00","310,717.00",39.65
2002,Forsyth County Health Department,Single,Forsyth,"12,775,123.00","313,803.00",40.71
2003,Forsyth County Health Department,Single,Forsyth,"13,989,324.00","316,323.00",44.22
2004,Forsyth County Health Department,Single,Forsyth,"15,659,148.00","319,220.00",49.05
2005,Forsyth County Health Department,Single,Forsyth,"16,922,247.00","324,372.00",52.17
2006,Forsyth County Health Department,Single,Forsyth,"17,794,101.00","330,935.00",53.77
2007,Forsyth County Health Department,Single,Forsyth,"17,835,638.00","337,159.00",52.90
2008,Forsyth County Health Department,Single,Forsyth,"19,194,681.00","342,975.00",55.97
2009,Forsyth County Health Department,Single,Forsyth,"20,231,084.00","347,333.00",58.25
2010,Forsyth County Health Department,Single,Forsyth,"21,184,605.00","350,670.00",60.41
2011,Forsyth County Health Department,Single,Forsyth,"21,011,505.00","354,384.00",59.29
2012,Forsyth County Health Department,Single,Forsyth,"20,104,876.00","357,490.00",56.24
2013,Forsyth County Health Department,Single,Forsyth,"19,971,047.00","359,892.00",55.49
2014,Forsyth County Health Department,Single,Forsyth,"20,423,056.00","363,212.00",56.23
2015,Forsyth County Health Department,Single,Forsyth,"19,925,586.00","365,378.00",54.53
2016,Forsyth County Health Department,Single,Forsyth,"20,807,420.00","369,029.00",56.38
2017,Forsyth County Health Department,Single,Forsyth,"21,634,584.00","372,845.00",58.03
2018,Forsyth County Health Department,Single,Forsyth,"22,295,963.00","376,309.00",59.25
2019,Forsyth County Health Department,Single,Forsyth,"21,981,114.00","379,693.00",57.89
2020,Forsyth County Health Department,Single,Forsyth,"22,934,487.00","383,123.00",59.86
2003,Orange County Health Department,Single,Orange,"6,053,459.00","120,368.00",50.29
2004,Orange County Health Department,Single,Orange,"7,420,413.00","121,053.00",61.30
2005,Orange County Health Department,Single,Orange,"6,759,296.00","122,613.00",55.13
2006,Orange County Health Department,Single,Orange,"6,323,932.00","124,593.00",50.76
2007,Orange County Health Department,Single,Orange,"6,666,353.00","127,278.00",52.38
2008,Orange County Health Department,Single,Orange,"7,085,936.00","129,584.00",54.68
2009,Orange County Health Department,Single,Orange,"7,122,479.00","132,215.00",53.87
2010,Orange County Health Department,Single,Orange,"7,293,214.00","133,801.00",54.51
2011,Orange County Health Department,Single,Orange,"7,101,731.00","135,287.00",52.49
2012,Orange County Health Department,Single,Orange,"6,932,715.00","138,300.00",50.13
2013,Orange County Health Department,Single,Orange,"7,435,288.00","139,427.00",53.33
2014,Orange County Health Department,Single,Orange,"7,718,188.00","140,103.00",55.09
2015,Orange County Health Department,Single,Orange,"8,069,020.00","140,678.00",57.36
2016,Orange County Health Department,Single,Orange,"8,692,992.00","142,148.00",61.15
2017,Orange County Health Department,Single,Orange,"9,166,051.00","142,597.00",64.28
2018,Orange County Health Department,Single,Orange,"9,797,459.00","145,574.00",67.30
2019,Orange County Health Department,Single,Orange,"10,290,730.00","147,039.00",69.99
2004,Brunswick County Health Department,Single,Brunswick,"5,234,618.00","83,910.00",62.38
2005,Brunswick County Health Department,Single,Brunswick,"5,724,387.00","88,039.00",65.02
2006,Brunswick County Health Department,Single,Brunswick,"6,684,283.00","93,756.00",71.29
2007,Brunswick County Health Department,Single,Brunswick,"6,589,978.00","98,557.00",66.86
2009,Brunswick County Health Department,Single,Brunswick,"7,629,918.00","105,226.00",72.51
2010,Brunswick County Health Department,Single,Brunswick,"7,734,922.00","107,431.00",72.00
2011,Brunswick County Health Department,Single,Brunswick,"7,521,945.00","110,148.00",68.29
2012,Brunswick County Health Department,Single,Brunswick,"7,163,256.00","112,409.00",63.72
2013,Brunswick County Health Department,Single,Brunswick,"6,383,573.00","115,284.00",55.37
2014,Brunswick County Health Department,Single,Brunswick,"6,593,003.00","119,050.00",55.38
2015,Brunswick County Health Department,Single,Brunswick,"6,844,763.00","122,957.00",55.67
2016,Brunswick County Health Department,Single,Brunswick,"6,399,328.00","127,152.00",50.33
2017,Brunswick County Health Department,Single,Brunswick,"6,981,970.00","131,644.00",53.04
2018,Brunswick County Health Department,Single,Brunswick,"7,041,307.00","137,103.00",51.36
2019,Brunswick County Health Department,Single,Brunswick,"7,492,998.00","142,088.00",52.73
1999,Richmond County Health Department,Single,Richmond,"2,496,715.00","46,331.00",53.89
2000,Richmond County Health Department,Single,Richmond,"2,620,223.00","46,557.00",56.28
2001,Richmond County Health Department,Single,Richmond,"2,721,767.00","46,510.00",58.52
2002,Richmond County Health Department,Single,Richmond,"2,944,108.00","46,391.00",63.46
2003,Richmond County Health Department,Single,Richmond,"2,878,198.00","46,053.00",62.50
2004,Richmond County Health Department,Single,Richmond,"3,181,871.00","45,894.00",69.33
2005,Richmond County Health Department,Single,Richmond,"3,324,134.00","46,060.00",72.17
2006,Richmond County Health Department,Single,Richmond,"3,478,422.00","46,177.00",75.33
2007,Richmond County Health Department,Single,Richmond,"3,512,077.00","46,449.00",75.61
2008,Richmond County Health Department,Single,Richmond,"3,770,740.00","46,675.00",80.79
2009,Richmond County Health Department,Single,Richmond,"4,017,405.00","46,685.00",86.05
2010,Richmond County Health Department,Single,Richmond,"4,073,929.00","46,639.00",87.35
2011,Richmond County Health Department,Single,Richmond,"4,081,635.00","46,610.00",87.57
2012,Richmond County Health Department,Single,Richmond,"4,274,141.00","46,146.00",92.62
2013,Richmond County Health Department,Single,Richmond,"4,315,499.00","45,924.00",93.97
2014,Richmond County Health Department,Single,Richmond,"4,729,615.00","45,439.00",104.09
2015,Richmond County Health Department,Single,Richmond,"4,332,125.00","45,353.00",95.52
2016,Richmond County Health Department,Single,Richmond,"4,897,206.00","44,957.00",108.93
2017,Richmond County Health Department,Single,Richmond,"5,092,253.00","45,155.00",112.77
2018,Richmond County Health Department,Single,Richmond,"5,393,344.00","45,199.00",119.32
2019,Richmond County Health Department,Single,Richmond,"5,604,262.00","45,079.00",124.32
2002,Craven County Health Department,Single,Craven,"7,020,765.00","93,067.00",75.44
2003,Craven County Health Department,Single,Craven,"7,254,987.00","92,906.00",78.09
2004,Craven County Health Department,Single,Craven,"7,762,736.00","94,134.00",82.46
2005,Craven County Health Department,Single,Craven,"8,142,709.00","94,729.00",85.96
2006,Craven County Health Department,Single,Craven,"8,170,173.00","97,345.00",83.93
2007,Craven County Health Department,Single,Craven,"8,547,659.00","97,825.00",87.38
2008,Craven County Health Department,Single,Craven,"9,351,879.00","99,626.00",93.87
2009,Craven County Health Department,Single,Craven,"9,538,653.00","101,923.00",93.59
2010,Craven County Health Department,Single,Craven,"9,517,457.00","103,505.00",91.95
2011,Craven County Health Department,Single,Craven,"9,743,417.00","104,831.00",92.94
2012,Craven County Health Department,Single,Craven,"9,699,866.00","105,170.00",92.23
2013,Craven County Health Department,Single,Craven,"9,841,143.00","104,285.00",94.37
2014,Craven County Health Department,Single,Craven,"9,349,643.00","104,069.00",89.84
2015,Craven County Health Department,Single,Craven,"8,888,543.00","104,450.00",85.10
2016,Craven County Health Department,Single,Craven,"9,510,727.00","103,184.00",92.17
2017,Craven County Health Department,Single,Craven,"9,470,651.00","102,492.00",92.40
2018,Craven County Health Department,Single,Craven,"10,279,698.00","103,594.00",99.23
2019,Craven County Health Department,Single,Craven,"10,914,425.00","103,779.00",105.17
2020,Craven County Health Department,Single,Craven,"11,656,144.00","103,983.00",112.10
1999,Jackson County Health Department,Single,Jackson,"2,351,694.00","32,492.00",72.38
2000,Jackson County Health Department,Single,Jackson,"2,345,196.00","33,121.00",70.81
2001,Jackson County Health Department,Single,Jackson,"2,612,625.00","33,892.00",77.09
2002,Jackson County Health Department,Single,Jackson,"2,738,753.00","34,570.00",79.22
2003,Jackson County Health Department,Single,Jackson,"2,980,996.00","35,594.00",83.75
2004,Jackson County Health Department,Single,Jackson,"2,953,954.00","36,381.00",81.19
2005,Jackson County Health Department,Single,Jackson,"3,195,040.00","36,751.00",86.94
2006,Jackson County Health Department,Single,Jackson,"3,435,472.00","37,849.00",90.77
2007,Jackson County Health Department,Single,Jackson,"3,672,056.00","38,181.00",96.17
2008,Jackson County Health Department,Single,Jackson,"3,908,666.00","38,659.00",101.11
2009,Jackson County Health Department,Single,Jackson,"4,049,887.00","39,483.00",102.57
2010,Jackson County Health Department,Single,Jackson,"4,098,089.44","40,271.00",101.76
2011,Jackson County Health Department,Single,Jackson,"4,279,163.30","40,383.00",105.96
2012,Jackson County Health Department,Single,Jackson,"4,292,195.00","40,706.00",105.44
2013,Jackson County Health Department,Single,Jackson,"4,464,273.05","40,826.00",109.35
2014,Jackson County Health Department,Single,Jackson,"4,382,283.00","41,131.00",106.54
2015,Jackson County Health Department,Single,Jackson,"4,166,957.24","41,590.00",100.19
2016,Jackson County Health Department,Single,Jackson,"4,331,697.13","43,003.00",100.73
2017,Jackson County Health Department,Single,Jackson,"4,479,261.92","43,544.00",102.87
2018,Jackson County Health Department,Single,Jackson,"4,463,653.24","43,819.00",101.87
2019,Jackson County Health Department,Single,Jackson,"4,947,832.89","44,335.00",111.60
2020,Jackson County Health Department,Single,Jackson,"4,784,580.84","44,848.00",106.68
1999,Translyvania County Health Department,Single,Translyvania,"1,198,401.00","29,068.00",41.23
2000,Translyvania County Health Department,Single,Translyvania,"1,307,527.00","29,334.00",44.57
2001,Translyvania County Health Department,Single,Translyvania,"1,381,154.00","29,483.00",46.85
2002,Translyvania County Health Department,Single,Translyvania,"1,350,861.00","29,728.00",45.44
2003,Translyvania County Health Department,Single,Translyvania,"1,432,830.00","29,879.00",47.95
2004,Translyvania County Health Department,Single,Translyvania,"1,517,665.00","30,249.00",50.17
2005,Translyvania County Health Department,Single,Translyvania,"1,491,319.00","30,623.00",48.70
2006,Translyvania County Health Department,Single,Translyvania,"1,631,018.00","31,375.00",51.98
2007,Translyvania County Health Department,Single,Translyvania,"1,884,708.00","31,973.00",58.95
2008,Translyvania County Health Department,Single,Translyvania,"1,951,437.00","32,413.00",60.21
2009,Translyvania County Health Department,Single,Translyvania,"2,042,609.00","32,788.00",62.30
2010,Translyvania County Health Department,Single,Translyvania,"1,855,463.00","33,090.00",56.07
2011,Translyvania County Health Department,Single,Translyvania,"1,841,788.00","33,007.00",55.80
2012,Translyvania County Health Department,Single,Translyvania,"1,816,020.00","33,020.00",55.00
2013,Translyvania County Health Department,Single,Translyvania,"1,901,827.00","33,115.00",57.43
2014,Translyvania County Health Department,Single,Translyvania,"1,983,090.00","33,400.00",59.37
2015,Translyvania County Health Department,Single,Translyvania,"2,231,676.00","33,725.00",66.17
2016,Translyvania County Health Department,Single,Translyvania,"2,269,212.00","34,074.00",66.60
2017,Translyvania County Health Department,Single,Translyvania,"2,409,408.00","34,495.00",69.85
2018,Translyvania County Health Department,Single,Translyvania,"2,352,879.00","35,115.00",67.00
1999,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","3,070,987.37","49,828.00",61.63
2000,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","2,892,910.56","50,638.00",57.13
2001,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","3,989,362.51","51,381.00",77.64
2002,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,342,292.25","51,324.00",84.61
2003,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,749,687.96","51,203.00",92.76
2004,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,136,176.71","51,161.00",100.39
2005,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,326,221.48","50,998.00",104.44
